Symbol,MarketCap
CARR,49373233152
CCI,45780209664
ROST,46705672192
PSA,50906214400
SPG,53084221440
O,45748875264
EW,43995508736
SRE,44122185728
AFL,49672302592
MSCI,44169273344
IDXX,43204325376
F,44152537088
VLO,44309954560
MET,51576438784
CPRT,46715240448
DLR,42666024960
BK,41695580160
NUE,42439188480
MNST,57297031168
TEL,44435677184
WMB,41397493760
KMB,39890554880
ALL,41194766336
STZ,45231497216
AEP,40487190528
OKE,40114458624
NEM,39691751424
CNC,40321490944
FAST,39375241216
IQV,38850600960
FTNT,50766532608
PAYX,43858706432
URI,39103090688
LHX,38713544704
AMP,39411793920
A,38026059776
CTSH,38583730176
GWW,43243298816
LEN,40846196736
HES,43085197312
SYY,37822857216
D,36944588800
PRU,37829189632
AME,37560229888
DOW,37237166080
CHTR,54936010752
OXY,50294169600
CEG,36942917632
JCI,37495967744
YUM,36283068416
GIS,36140519424
FIS,36177072128
IT,36490702848
COR,43661643776
OTIS,36018884608
BIIB,35812990976
ODFL,42978652160
VRSK,35471069184
KVUE,39123451904
ROK,34414702592
PCG,42044223488
EXC,33924495360
GPN,33853171712
RSG,53280628736
CSGP,34204485632
EA,37079654400
PPG,33254873088
KMI,37542584320
CMI,33423468544
MRNA,38551625728
ON,32366954496
XEL,32126728192
IR,31914192896
DD,27608694784
FICO,31679432704
VICI,31387639808
KDP,43544305664
CTVA,32001744896
MLM,30574784512
EXR,32098660352
BKR,30190200832
ED,30489829376
HAL,32964767744
EFX,30486349824
MPWR,30280384512
CDW,30319167488
VMC,29205485568
KR,33165398016
RCL,32154931200
ACGL,29902270464
ANSS,29514473472
PWR,28080683008
DG,28681670656
KHC,45161201664
GEHC,32572639232
EL,45145980928
PEG,28393930752
HSY,38713516032
ADM,28071841792
KEYS,27170484224
DLTR,28358219776
FANG,27420499968
XYL,26928412672
CBRE,26166478848
MTD,26124859392
DVN,26665934848
TTWO,28214280192
FTV,25914740736
RMD,25267464192
CAH,25721401344
EIX,25001027584
HIG,25992542208
WTW,25917227008
WST,25800945664
ZBH,25186387968
AVB,24998901760
HPQ,29300996096
SBAC,24520556544
WEC,24938291200
TSCO,24437006336
DFS,25310871552
TROW,24525832192
AWK,23742326784
WY,24184934400
BR,24243517440
CHD,23923691520
LYB,30301896704
DAL,24573849600
NVR,21799976960
FITB,23635038208
MTB,23706136576
PHM,22068305920
ULTA,23249788928
GLW,25910925312
WBD,25385512960
WAB,23201091584
STT,22295543808
APTV,23500177408
HWM,23197657088
BLDR,20391727104
ILMN,22392387584
STE,21227223040
DTE,21112672256
MOH,21358204928
RJF,23620722688
EBAY,21595590656
PTC,21344587776
ETR,20555173888
DOV,20705118208
FLT,20751456256
TDY,19719430144
EQR,22312640512
IFF,20177252352
GPC,19861706752
HPE,20487999488
NDAQ,33579362304
INVH,20352141312
CBOE,19928973312
BAX,19217434624
IRM,19566252032
VTR,19133216768
DRI,19303983104
GRMN,23937423360
EXPE,20628647936
ALGN,19688761344
ARE,20986806272
COO,18816413696
LH,18962415616
PPL,18752434176
FE,20634386432
WAT,18472458240
EXPD,18490572800
TRGP,18725525504
HBAN,18944024576
NTAP,18272890880
ES,18570170368
TYL,18504740864
AKAM,18666969088
AXON,18826369024
CTRA,18819844096
WDC,18815821824
VRSN,20826357760
HOLX,17390477312
LUV,18545137664
HUBB,17596596224
AEE,17974919168
BRO,22084804608
FDS,17932982272
RF,17787000832
LVS,37397237760
BALL,17615865856
CINF,17722757120
OMC,17645815808
CLX,17334763520
STLD,18858037248
VLTO,18783449088
SWKS,17243150336
PFG,19049119744
CNP,17131418624
EPAM,16636784640
JBHT,21026947072
NTRS,16590589952
J,16937711616
TER,16919119872
STX,18725699584
ATO,16725982208
CCL,21004660736
CMS,16224996352
AVY,15982241792
MKC,17626408960
WBA,19291351040
EG,16271834112
FSLR,15905865728
JBL,15806776320
MAA,16065079296
LW,15281775616
WRB,20034076672
SYF,15449993216
IEX,15555409920
ESS,15591608320
MAS,14698080256
TXT,16768227328
POOL,14732907520
CFG,15708957696
SNA,15109858304
LDOS,15147661312
TSN,18891663360
DPZ,14711758848
PKG,14788905984
SWK,14241059840
ENPH,14757067776
DGX,14364695552
EQT,14668098560
CE,15598921728
PODD,14048615424
CF,14667368448
BBY,15794989056
ALB,14280686592
K,18314545152
HST,13922617344
VTRS,14114162688
NDSN,14338846720
AMCR,13456116736
CAG,14058126336
L,16317415424
KEY,13523983360
GEN,15056802816
SJM,13771122688
RVTY,13193443328
ZBRA,13054069760
MRO,13220728832
LKQ,12700200960
BG,12946614272
LYV,20579536896
UAL,13396132864
IP,12518894592
TRMB,12622488576
KIM,13587627008
IPG,12344218624
ROL,20954005504
JKHY,12135363584
LNT,12284317696
JNPR,11910915072
PNR,11684986880
TFX,11370353664
NRG,11872933888
TAP,13188820992
MGM,14640247808
EVRG,11336730624
UDR,13042328576
INCY,13634791424
TECH,11238138880
AES,11048878080
KMX,10651770880
ALLE,10791730176
CRL,10931861504
PEAK,10467132416
FFIV,10826706944
CPT,10418714624
GL,11486246912
QRVO,10314761216
MOS,10445646848
CDAY,10721241088
EMN,9931389952
REG,11549970432
NI,10409790464
HII,10075468800
CHRW,9981826048
WRK,10465525760
AOS,11946678272
MKTX,10419816448
MTCH,10040734720
BXP,11057992704
HSIC,9519258624
BF-B,26289846272
CZR,9510697984
BBWI,9295212544
UHS,10465463296
PAYC,11160488960
APA,9506835456
NWSA,14206681088
CTLT,8970631168
AAL,9103825920
AIZ,8918839296
WYNN,10649678848
HRL,16623935488
RHI,8587025408
TPR,8603642880
CPB,13152172032
ETSY,8181046784
BEN,13319766016
IVZ,7111943680
BWA,7820280320
PNW,7733743104
FOXA,14614726656
XRAY,7345185792
FRT,8327200256
NCLH,7449191936
GNRC,6952214016
FMC,7112510464
CMA,7258347008
PARA,8917946368
BIO,9229971456
ZION,6539472896
WHR,6053577216
HAS,6677323776
DVA,9542211584
RL,8985939968
VFC,6537123328
MHK,6213472256
FOX,14607560704
NWS,14217781248
